계열,모집단위,모집인원,지원인원,경쟁률,합격인원,최종추합번호,환산 평균,환산 70%,수능 전형
자연계,간호학과,32,133,4.16,31,29번,699.14,695.09,가
자연계,건설융합학부(건축공학전공),13,114,8.77,12,17번,690.63,688.67,가
자연계,건설융합학부(건축학전공),13,88,6.77,13,10번,696.88,694.32,가
인문사회계,건설융합학부(도시공학전공),13,95,7.31,13,9번,691.8,689.39,가
자연계,건설융합학부(토목공학전공),30,213,7.1,29,10번,689.56,685.81,가
인문사회계,경영학과,90,333,3.7,90,46번,704.47,700.95,가
인문사회계,경제학부,30,149,4.97,29,25번,702.2,697.83,나
인문사회계,고고학과,15,66,4.4,15,16번,674.9,673.77,가
자연계,고분자공학과,17,71,4.18,17,10번,701.14,700.04,나
인문사회계,공공정책학부,16,80,5,16,10번,696.34,693.99,가
인문사회계,관광컨벤션학과,8,39,4.88,8,6번,686.78,686.54,가
자연계,광메카트로닉스공학과,18,90,5,18,5번,687.72,686.55,나
인문사회계,교육학과,5,27,5.4,5,3번,689.91,690.93,가
인문사회계,국어교육과,8,36,4.5,8,12번,705.39,703.88,가
인문사회계,국어국문학과,9,52,5.78,9,5번,688.34,683.96,나
자연계,기계공학부,93,365,3.92,91,45번,712.2,708.04,나
자연계,나노메카트로닉스공학과,15,76,5.07,15,13번,696.1,693.83,가
자연계,나노에너지공학과,19,104,5.47,19,2번,677.63,674.86,나
인문사회계,노어노문학과,17,120,7.06,17,4번,677.18,676.5,가
자연계,대기환경과학과,15,117,7.8,15,12번,683.51,679.78,가
인문사회계,독어독문학과,16,97,6.06,16,2번,676.75,674.75,가
자연계,동물생명자원과학과,13,58,4.46,13,8번,652.53,646.45,가
자연계,디자인학과(디자인앤테크놀로지전공),6,30,5,6,3번,689.64,687.37,가
인문사회계,무역학부,29,130,4.48,28,18번,694.78,693.55,나
인문사회계,문헌정보학과,12,62,5.17,12,7번,690.8,686.95,가
자연계,물리교육과,6,30,5,6,4번,696.41,690.92,가
자연계,물리학과,32,211,6.59,31,17번,685.89,682.32,가
인문사회계,미디어커뮤니케이션학과,8,36,4.5,8,7번,694.12,694.03,가
자연계,미생물학과,17,126,7.41,17,14번,687.83,683.71,가
자연계,바이오산업기계공학과,10,50,5,10,6번,662.9,660.47,가
자연계,바이오소재과학과,11,55,5,10,8번,669.15,655.86,가
자연계,바이오환경에너지학과,9,50,5.56,9,6번,661.81,659.25,가
자연계,분자생물학과,15,95,6.33,15,13번,687.81,685.45,가
인문사회계,불어불문학과,15,85,5.67,15,9번,678.64,675.28,가
인문사회계,사학과,10,47,4.7,10,5번,687.24,684.39,나
인문사회계,사회복지학과,15,65,4.33,15,8번,687.83,685.33,가
인문사회계,사회학과,9,42,4.67,9,4번,687.86,686.48,나
자연계,산업공학과,14,86,6.14,14,9번,699.89,698.51,가
자연계,생명과학과,14,69,4.93,13,9번,699.15,695.48,나
자연계,생명환경화학과,10,55,5.5,10,16번,659.39,655.59,나
자연계,생물교육과,6,34,5.67,6,3번,706.98,704.45,가
자연계,수학과,20,93,4.65,19,17번,697.23,694.23,나
자연계,수학교육과,10,48,4.8,10,10번,721.15,716.55,가
자연계,식물생명과학과,13,64,4.92,12,12번,653.17,652.12,가
자연계,식품공학과,11,55,5,11,23번,654.28,651.59,나
자연계,식품영양학과,12,70,5.83,12,10번,678.73,675.34,가
인문사회계,식품자원경제학과,15,93,6.2,14,7번,672.09,668.74,나
인문사회계,실내환경디자인학과,7,43,6.14,7,6번,686.91,684.68,나
인문사회계,심리학과,11,65,5.91,11,8번,689.13,686.61,나
인문사회계,아동가족학과,10,48,4.8,10,14번,678.18,676.98,나
자연계,약학부,28,195,6.96,26,24번,753.4,752.72,나
인문사회계,언어정보학과,12,58,4.83,12,6번,684.04,682.46,가
인문사회계,역사교육과,6,28,4.67,6,4번,690.59,689.62,가
인문사회계,영어교육과,9,47,5.22,9,18번,698.22,695.11,가
인문사회계,영어영문학과,19,99,5.21,18,16번,686.64,686.11,나
인문사회계,예술문화영상학과,8,41,5.13,8,7번,687.18,685.4,나
자연계,원예생명과학과,12,56,4.67,12,10번,649.31,642.6,가
자연계,유기소재시스템공학과,16,101,6.31,16,15번,697.66,696.33,가
인문사회계,유아교육과,6,26,4.33,6,3번,686.72,685.47,가
인문사회계,윤리교육과,5,25,5,5,9번,689.48,686.64,가
인문사회계,의류학과,15,74,4.93,15,8번,681.27,680.2,가
자연계,의생명융합공학부,34,169,4.97,34,23번,698.97,694.17,나
자연계,의예과,30,176,5.87,29,33번,768.34,767.09,나
인문사회계,일반사회교육과,6,24,4,6,7번,688.4,697.04,가
인문사회계,일어일문학과,16,80,5,16,9번,680.98,678.15,가
자연계,재료공학부,32,155,4.84,32,14번,702.5,700.76,나
자연계,전기공학과,25,180,7.2,24,29번,713.34,708.49,가
자연계,전자공학과,33,148,4.48,32,32번,714.23,710.23,나
자연계,정보컴퓨터공학부,40,215,5.38,39,28번,713.27,710.09,가
인문사회계,정치외교학과,14,70,5,14,7번,691.89,690.92,나
자연계,조경학과,12,64,5.33,12,10번,647.93,643.35,가
자연계,조선해양공학과,28,139,4.96,28,8번,690.13,687.81,나
인문사회계,중어중문학과,9,39,4.33,9,3번,681.32,680.27,가
