계열,모집단위,모집인원,지원인원,경쟁률,합격인원,최종추합번호,환산 평균,환산 70%,수능 전형
자연계,간호학과,24,91,3.79,24,16번,703.21,700,가
자연계,건설융합학부(건축공학전공),16,66,4.13,15,10번,691.49,689.5,가
자연계,건설융합학부(건축학전공),16,64,4,16,10번,694.18,691.5,가
인문사회계,건설융합학부(도시공학전공),15,50,3.33,15,15번,688.15,686.25,가
자연계,건설융합학부(토목공학전공),31,123,3.97,31,21번,686.76,685.5,가
인문사회계,경영학과,103,292,2.83,101,59번,699.77,698.25,가
인문사회계,경제학부,33,105,3.18,32,41번,691.27,688.75,나
인문사회계,고고학과,10,85,8.5,9,8번,683.56,682.75,가
자연계,고분자공학과,16,62,3.88,16,15번,698.57,697.6,나
인문사회계,공공정책학부,14,51,3.64,14,8번,697.52,697.25,가
인문사회계,관광컨벤션학과,8,27,3.38,8,11번,685.72,689.25,가
자연계,광메카트로닉스공학과,18,66,3.67,18,15번,689.69,688.5,나
인문사회계,교육학과,5,16,3.2,5,8번,686.85,687.75,가
인문사회계,국어교육과,9,30,3.33,9,5번,699.61,698,가
인문사회계,국어국문학과,11,53,4.82,11,10번,690.94,689,나
자연계,기계공학부,117,352,3.01,115,67번,702.47,699,나
자연계,나노메카트로닉스공학과,13,58,4.46,13,12번,696.46,695,가
자연계,나노에너지공학과,16,88,5.5,16,9번,689.06,687.5,나
인문사회계,노어노문학과,12,62,5.17,12,8번,681.94,680.75,가
자연계,대기환경과학과,10,52,5.2,10,6번,689.26,689,가
인문사회계,독어독문학과,8,41,5.13,8,5번,682.63,681.5,가
자연계,동물생명자원과학과,14,50,3.57,14,20번,653.88,653,가
예술계,디자인학과(디자인앤테크놀로지전공),6,21,3.5,6,3번,694.33,692,가
인문사회계,무역학부,35,110,3.14,34,38번,687.1,688,나
인문사회계,문헌정보학과,13,37,2.85,13,10번,687.08,684.75,가
자연계,물리교육과,6,26,4.33,6,6번,691.5,688.5,가
자연계,물리학과,35,154,4.4,35,35번,687.94,686,가
인문사회계,미디어커뮤니케이션학과,15,56,3.73,15,3번,695.52,694.25,가
자연계,미생물학과,18,81,4.5,18,10번,690.53,688.5,가
자연계,바이오산업기계공학과,9,35,3.89,9,9번,673.64,670.5,가
자연계,바이오소재과학과,11,38,3.45,10,6번,671.5,670,가
자연계,바이오환경에너지학과,12,46,3.83,12,11번,663.54,661.5,가
자연계,분자생물학과,19,84,4.42,19,21번,691.39,688,가
인문사회계,불어교육과,1,13,13,1,1번,,,가
인문사회계,불어불문학과,10,57,5.7,10,12번,684.63,683,가
인문사회계,사학과,10,56,5.6,10,9번,684.8,683.5,나
인문사회계,사회복지학과,17,91,5.35,17,15번,679.68,676.75,가
인문사회계,사회학과,16,65,4.06,15,17번,691.17,690.25,나
자연계,산업공학과,17,81,4.76,17,14번,694.41,693,가
자연계,생명과학과,15,57,3.8,15,12번,699.87,696.5,나
자연계,생명환경화학과,11,52,4.73,10,19번,668.65,665.5,나
자연계,생물교육과,5,22,4.4,5,6번,688.5,689.5,가
자연계,수학과,23,79,3.43,22,29번,690.8,688.1,나
자연계,수학교육과,10,29,2.9,10,12번,709.9,707.5,가
자연계,식물생명과학과,12,59,4.92,12,8번,658.63,658,가
자연계,식품공학과,11,62,5.64,11,16번,666.15,664.5,나
자연계,식품영양학과,12,63,5.25,12,11번,685.38,684,가
인문사회계,식품자원경제학과,13,55,4.23,13,13번,673.35,671.75,나
인문사회계,실내환경디자인학과,7,33,4.71,7,10번,688.36,687.75,나
인문사회계,심리학과,17,66,3.88,17,14번,692.24,688.5,나
인문사회계,아동가족학과,9,58,6.44,9,24번,682.27,681.5,나
자연계,약학부,12,84,7,11,8번,748.18,747.5,나
인문사회계,언어정보학과,11,55,5,11,18번,685.39,683.75,가
인문사회계,역사교육과,7,26,3.71,7,5번,697,697,가
인문사회계,영어교육과,8,35,4.38,8,6번,694.78,694,가
인문사회계,영어영문학과,22,86,3.91,22,13번,684.7,681.25,나
인문사회계,예술문화영상학과,9,42,4.67,9,15번,687.58,685.75,나
자연계,원예생명과학과,10,43,4.3,10,8번,658.15,656.5,가
자연계,유기소재시스템공학과,18,74,4.11,18,24번,693.43,694,가
인문사회계,유아교육과,7,20,2.86,7,8번,676.25,681.75,가
인문사회계,윤리교육과,5,22,4.4,5,8번,687.15,687.75,가
인문사회계,의류학과,13,61,4.69,13,6번,686.29,684,가
자연계,의생명융합공학부,36,105,2.92,35,30번,698.74,696,나
자연계,의예과,25,121,4.84,25,14번,761.08,760,나
인문사회계,일반사회교육과,7,34,4.86,7,3번,697.21,697.25,가
인문사회계,일어일문학과,8,43,5.38,8,9번,682.13,682.25,가
자연계,재료공학부,39,127,3.26,37,20번,699.14,699,나
