계열,모집단위,모집인원,지원인원,경쟁률,최종추합번호,환산 평균,환산 80%,수능 전형,비고,단과 대학
자연계,간호학과,8,43,5.38 ,10,681.28,678.41,가, ,자연과학대학
자연계,건축공학과,7,40,5.71 ,5,674.27,672.72,나, ,공과대학
인문사회계,경영학부,33,135,4.09 ,21,669.98,667.2,가, ,경영대학
인문사회계,경제학과,18,73,4.06 ,5,664.61,662.1,가, ,인문사회과학대학
자연계,공업화학·고분자공학부,23,111,4.83 ,18,674.19,667.61,나, ,공과대학
자연계,과학컴퓨팅학과,5,286,57.20 ,69,688.85,684.6,다, ,자연과학대학
인문사회계,국어국문학과,6,38,6.33 ,12,656.5,652.75,가, ,인문사회과학대학
인문사회계,국제지역학부,11,65,5.91 ,12,665.2,659.5,나, ,인문사회과학대학
인문사회계,국제통상학부,24,102,4.25 ,12,665.65,662.5,가, ,경영대학
인문사회계,글로벌자율전공학부(인문·사회계),4,26,6.50 ,2,666.68,,가,,본부
자연계,글로벌자율전공학부(자연계),5,27,5.40 ,4,673.45,672.11,가, ,본부
자연계,기계공학부,34,156,4.59 ,47,680.45,676.75,가, ,공과대학
자연계,나노융합공학과,14,79,5.64 ,10,675.15,671.2,나, ,공과대학
자연계,데이터정보과학부,9,44,4.89 ,10,679.46,677.34,가, ,정보융합대학
자연계,물리학과,9,101,11.22 ,9,664.07,660.58,가, ,자연과학대학
자연계,미디어커뮤니케이션학부,12,54,4.50 ,14,665.41,660.55,나, ,정보융합대학
자연계,미생물학과,10,61,6.10 ,4,669.38,664.88,가, ,자연과학대학
인문사회계,법학과,11,58,5.27 ,13,666.02,662.65,나, ,인문사회과학대학
인문사회계,사학과,7,53,7.57 ,7,657,655,가, ,인문사회과학대학
인문사회계,사회계열,8,381,47.63 ,69,672.83,670,다, ,인문사회과학대학
자연계,생물공학과,9,47,5.22 ,9,673.81,669.23,나, ,수산과학대학
자연계,소방공학과,8,46,5.75 ,10,667.99,665.46,가, ,공과대학
자연계,수산생명과학부,20,84,4.20 ,6,670.48,666.46,나, ,수산과학대학
자연계,수산생명의학과,6,23,3.83 ,3,697.98,692.36,나, ,수산과학대학
자연계,수해양산업교육과,3,21,7.00 ,4,659.27,,가,,수산과학대학
자연계,스마트헬스케어학부(의공학전공),8,41,5.13 ,3,679.21,674.84,가, ,정보융합대학
체능,스마트헬스케어학부(해양스포츠전공),28,90,3.21 ,1,412.64,402.52,가,실기 있음,정보융합대학
자연계,스마트헬스케어학부(휴먼바이오융합전공),6,162,27.00 ,70,672.94,669.26,다, ,정보융합대학
자연계,시스템경영·안전공학부,21,121,5.76 ,15,671.09,669.41,가, ,공과대학
자연계,식품과학부,20,135,6.75 ,13,666.13,662.4,나, ,수산과학대학
자연계,에너지수송시스템공학부,25,102,4.08 ,7,687.82,682.5,나, ,공과대학
자연계,에너지자원공학과,9,52,5.78 ,6,669.37,667.05,가, ,환경ㆍ해양대학
인문사회계,영어영문학부,16,95,5.94 ,11,661.61,659.25,나, ,인문사회과학대학
인문사회계,유아교육과,4,20,5.00 ,3,664.75,,가,,인문사회과학대학
자연계,융합소재공학부,31,138,4.45 ,19,676.56,673.04,나, ,공과대학
자연계,응용수학과,10,50,5.00 ,10,665.33,663.04,가, ,자연과학대학
인문사회계,일어일문학부,14,104,7.43 ,15,657.41,655.45,나, ,인문사회과학대학
자연계,전기공학부,41,199,4.85 ,41,685.99,681.83,나, ,공과대학
자연계,전자정보통신공학부,31,117,3.77 ,18,687.21,681.78,가, ,정보융합대학
인문사회계,정치외교학과,3,27,9.00 ,4,662,,나,,인문사회과학대학
자연계,조형학부(건축학전공),12,66,5.50 ,9,683.39,679.58,나, ,정보융합대학
예능,조형학부(공업디자인전공),25,143,5.72 ,9,270.78,262.48,가,실기 있음,정보융합대학
예능,조형학부(시각디자인전공),25,122,4.88 ,9,273.35,263.82,나,실기 있음,정보융합대학
인문사회계,중국학과,5,39,7.80 ,2,658.6,653.7,나, ,인문사회과학대학
자연계,지구환경시스템과학부(공간정보시스템공학전공),7,44,6.29 ,9,665.46,664.51,나, ,환경ㆍ해양대학
자연계,지구환경시스템과학부(해양학전공),8,71,8.88 ,6,664.83,662.64,가, ,환경ㆍ해양대학
자연계,지구환경시스템과학부(환경공학전공),9,54,6.00 ,7,669.62,665.46,나, ,환경ㆍ해양대학
자연계,지구환경시스템과학부(환경대기과학전공),9,53,5.89 ,8,664.3,663.2,가, ,환경ㆍ해양대학
자연계,지구환경시스템과학부(환경지질과학전공),8,70,8.75 ,7,660.92,660.23,나, ,환경ㆍ해양대학
자연계,지속가능공학부(생태공학전공),8,47,5.88 ,6,665.31,661.44,가, ,공과대학
자연계,지속가능공학부(토목공학전공),15,67,4.47 ,4,671.92,669.3,나, ,공과대학
자연계,컴퓨터·인공지능공학부,29,118,4.07 ,18,692.21,687.8,가, ,정보융합대학
예능,패션디자인학과,7,50,7.14 ,3,655.71,654.5,가, ,인문사회과학대학
자연계,해양공학과,7,55,7.86 ,4,661.48,660.3,나, ,환경ㆍ해양대학
자연계,해양생산시스템관리학부,14,113,8.07 ,8,664.41,659.4,나, ,수산과학대학
인문사회계,해양수산경영경제학부,17,94,5.53 ,13,661.73,658.55,나, ,수산과학대학
인문사회계,행정복지학부,16,93,5.81 ,5,665.43,661.15,가, ,인문사회과학대학
자연계,화학공학과,13,55,4.23 ,7,687.07,684.51,가, ,공과대학
자연계,화학과,8,50,6.25 ,8,668.77,664.96,가, ,자연과학대학
